Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Joe Flacco,QB,5500,Jax@Bal 01:00PM ET,18.83,Bal,18.7,18.26,20.14,19.26,17.094,17.356,16.0324,18.1203428571,20.14,16.0324,4.1076,0.226684452517
Jeremy Maclin,WR,5500,KC@Den 04:25PM ET,16.629,KC,13.0,18.4,13.5,17.2,13.99,15.25,13.716,15.008,18.4,13.0,5.4,0.359808102345
LeSean McCoy,RB,5500,Buf@NYJ 08:25PM ET,14.933,Buf,14.0,5.4,11.57,5.6,11.39,12.88,13.12,10.5657142857,14.0,5.4,8.6,0.813953488372
Tyrod Taylor,QB,5500,Buf@NYJ 08:25PM ET,20.603,Buf,16.2,12.2,17.84,13.2,16.968,15.466,17.1964,15.5814857143,17.84,12.2,5.64,0.361968049993
John Brown,WR,5500,Ari@Sea 08:30PM ET,16.357,Ari,7.5,14.0,9.36,13.0,12.54,12.73,10.079,11.3155714286,14.0,7.5,6.5,0.574429673396
Eddie Lacy,RB,5500,Det@GB 01:00PM ET,7.625,GB,5.5,16.2,6.92,16.2,11.23,16.5,8.797,11.621,16.5,5.5,11.0,0.946562257981
Martavis Bryant,WR,5500,Cle@Pit 01:00PM ET,17.825,Pit,15.0,18.7,11.31,17.5,11.32,11.03,11.173,13.719,18.7,11.03,7.67,0.559078650047
Brian Hoyer,QB,5400,Hou@Cin 08:30PM ET,19.34,Hou,18.2,12.34,13.48,13.34,20.268,11.392,16.4326,15.0646571429,20.268,11.392,8.876,0.589193628227
DeSean Jackson,WR,5400,NO@Was 01:00PM ET,2.25,Was,17.0,17.8,11.93,16.0,11.12,14.83,12.209,14.4127142857,17.8,11.12,6.68,0.463479665771
Matthew Stafford,QB,5400,Det@GB 01:00PM ET,16.678,Det,18.7,14.08,16.0,15.08,17.448,14.754,17.819,16.2687142857,18.7,14.08,4.62,0.283980646464
Lamar Miller,RB,5400,Mia@Phi 01:00PM ET,17.963,Mia,19.0,13.8,13.86,14.6,14.23,16.47,16.358,15.474,19.0,13.8,5.2,0.336047563655
James Jones,WR,5300,Det@GB 01:00PM ET,13.913,GB,9.0,18.8,14.01,17.4,10.06,15.81,9.31,13.4842857143,18.8,9.0,9.8,0.726771903803
Eric Decker,WR,5300,Buf@NYJ 08:25PM ET,16.886,NYJ,19.5,8.4,12.21,7.2,14.74,11.87,13.649,12.5098571429,19.5,7.2,12.3,0.983224657128
Ryan Tannehill,QB,5300,Mia@Phi 01:00PM ET,18.498,Mia,14.7,18.76,15.52,19.76,16.524,17.938,13.2828,16.6406857143,19.76,13.2828,6.4772,0.389238767633
Landry Jones,QB,5300,Cle@Pit 01:00PM ET,8.98,Pit,19.2,16.9,17.02,17.9,14.69,14.91,11.5024,16.0174857143,19.2,11.5024,7.6976,0.480574800397
Marcus Mariota,QB,5300,Car@Ten 01:00PM ET,20.517,Ten,17.5,18.92,13.4,19.92,16.796,11.69,16.5506,16.3966571429,19.92,11.69,8.23,0.501931578388
Jeremy Hill,RB,5300,Hou@Cin 08:30PM ET,9.863,Cin,13.0,11.5,13.28,12.8,12.18,10.25,11.0262,12.0051714286,13.28,10.25,3.03,0.252391231398
Kirk Cousins,QB,5200,NO@Was 01:00PM ET,16.233,Was,17.8,10.42,15.57,11.42,17.902,17.45,18.3766,15.5626571429,18.3766,10.42,7.9566,0.511262307392
Travis Benjamin,WR,5200,Cle@Pit 01:00PM ET,15.256,Cle,19.0,17.4,9.06,15.8,11.52,12.19,11.511,13.783,19.0,9.06,9.94,0.721178263078
Jay Cutler,QB,5100,Chi@StL 01:00PM ET,18.226,Chi,13.8,17.12,15.01,18.12,14.978,22.896,14.8142,16.6768857143,22.896,13.8,9.096,0.545425576204
Ryan Fitzpatrick,QB,5100,Buf@NYJ 08:25PM ET,16.75,NYJ,19.7,6.3,15.64,7.3,18.572,14.83,15.6944,14.0052,19.7,6.3,13.4,0.956787478936
Shaun Hill,QB,5100,Min@Oak 04:05PM ET,0.5,Min,,,,,,,1.561,1.561,1.561,1.561,0.0,0.0
