,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,DST,DST_sal,DST_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
108,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Delanie Walker,4100,13.528,Rams ,3200,10.9,Austin Seferian-Jenkins,2800,13.375,49900,157.64674286,1
110,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Marvin Jones,4200,12.24102857,50000,156.35977143,1
111,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Delanie Walker,4100,13.528,49900,157.64674286,1
112,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Jonathan Stewart,4100,12.13357143,49900,156.25231429,1
113,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Darren McFadden,3800,14.38614286,49600,158.50488572,1
114,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Eric Ebron,3100,12.08342857,48900,156.20217143,1
115,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Ladarius Green,3000,12.57071429,48800,156.68945715,1
117,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Anquan Boldin,4400,13.81514286,50000,156.13388572,1
119,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Antonio Brown,Vincent Jackson,Mike Wallace,16900,52.11614286,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Darren McFadden,3800,14.38614286,49400,156.70488572,1
122,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,A.J. Green,Eric Decker,Vincent Jackson,17800,53.23942857,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Larry Donnell,3300,10.82331429,50000,156.06534286,1
