,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
40,Todd Gurley,RB,6300,SF@StL 01:00PM ET,19.425,StL,23.0,17.6,16.0,17.1,19.59,16.09,16.781,18.023,,,,,26.6
41,Jeremy Maclin,WR,6200,Det@KC 09:30AM ET,17.317,KC,20.0,18.6,15.7,17.3,17.49,17.57,16.3668,17.57525714,,,,,12.5
42,Eddie Lacy,RB,6200,GB@Den 08:30PM ET,8.217,GB,5.0,17.0,12.74,16.9,12.37,14.52,11.866,12.91371429,,,,,11.7
43,Jarvis Landry,WR,6200,Mia@NE 08:25PM ET,18.7,Mia,20.5,17.4,13.2,16.8,15.99,11.99,16.32,16.02857143,,,,,13.1
44,Steve Smith Sr.,WR,6100,SD@Bal 01:00PM ET,21.133,Bal,19.5,15.8,16.78,14.9,13.79,13.7,15.634,15.72914286,,,,,13.2
45,Justin Forsett,RB,6100,SD@Bal 01:00PM ET,15.286,Bal,24.5,17.7,16.87,18.7,23.91,20.77,19.857,20.32957143,,,,,8.4
46,Andy Dalton,QB,6000,Cin@Pit 01:00PM ET,24.957,Cin,24.0,17.68,17.69,18.68,18.258,17.836,21.1726,19.33094286,,,,,11.64
47,Chris Ivory,RB,6000,NYJ@Oak 04:05PM ET,20.3,NYJ,15.5,16.2,12.43,17.0,15.2,14.05,16.042,15.20314286,,,,,7.1
48,Latavius Murray,RB,5900,NYJ@Oak 04:05PM ET,15.167,Oak,17.5,12.8,13.24,13.0,11.4,11.67,14.601,13.45871429,,,,,15.9
49,Matthew Stafford,QB,5800,Det@KC 09:30AM ET,17.463,Det,18.9,14.2,17.83,15.2,17.74,18.728,18.0242,17.23174286,,,,,11.18
50,John Brown,WR,5800,Ari@Cle 01:00PM ET,16.357,Ari,18.0,14.4,8.38,13.2,13.06,,14.681,13.62016667,,,,,
51,James Jones,WR,5700,GB@Den 08:30PM ET,17.067,GB,17.5,18.6,11.12,17.3,11.02,14.05,14.047,14.80528571,,,,,1.2
52,Ryan Tannehill,QB,5600,Mia@NE 08:25PM ET,19.753,Mia,18.6,18.6,15.98,19.6,18.3,15.378,17.3766,17.69065714,,,,,12.9
53,Joe Flacco,QB,5500,SD@Bal 01:00PM ET,17.811,Bal,13.1,17.98,19.99,18.98,17.4,16.21,16.4206,17.15437143,,,,,25.96
54,Doug Martin,RB,5500,TB@Atl 01:00PM ET,18.833,TB,18.5,13.6,13.25,13.7,14.38,14.13,16.145,14.815,,,,,8.8
55,Donte Moncrief,WR,5500,Ind@Car 08:30PM ET,15.014,Ind,17.5,15.5,10.19,14.9,14.36,9.4,12.285,13.44785714,,,,,3.8
56,Marcus Mariota,QB,5400,Ten@Hou 01:00PM ET,17.352,Ten,,,,,,,,,,,,,
