,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire
403,Marcedes Lewis,TE,2500,Buf@Jax 09:30AM ET,1.8,Jax,2.0,6.2,2.62,6.1,2.55,4.61,2.757
404,Scott Chandler,TE,2500,NYJ@NE 01:00PM ET,4.56,NE,2.0,7.2,4.3,6.6,5.53,3.51,4.432
405,Matt Spaeth,TE,2500,Pit@KC 01:00PM ET,0.0,Pit,,,,,,,2.15
406,Anthony Fasano,TE,2500,Atl@Ten 01:00PM ET,5.58,Ten,,4.6,4.6,4.3,4.21,4.03,4.868
407,Brent Celek,TE,2500,Phi@Car 08:30PM ET,3.833,Phi,2.0,,5.15,,,3.54,3.749
408,Brandon Pettigrew,TE,2500,Min@Det 01:00PM ET,2.95,Det,,,3.77,,,,
409,Kellen Davis,TE,2500,NYJ@NE 01:00PM ET,0.0,NYJ,,,4.15,,1.07,,
410,Brandon Myers,TE,2500,TB@Was 01:00PM ET,2.4,TB,4.0,2.6,4.27,3.3,5.29,7.63,5.528
411,Darren Fells,TE,2500,Bal@Ari 08:30PM ET,5.933,Ari,,,,,,,
412,Tony Moeaki,TE,2500,Atl@Ten 01:00PM ET,0.0,Atl,,,,,,,2.604
413,David Johnson,TE,2500,Oak@SD 04:05PM ET,0.033,SD,5.5,7.0,7.15,7.2,7.1,5.63,7.583
414,Clay Harbor,TE,2500,Buf@Jax 09:30AM ET,3.4,Jax,,3.8,,3.9,,0.76,
415,Ed Dickson,TE,2500,Phi@Car 08:30PM ET,3.86,Car,2.0,3.6,4.01,3.8,4.15,3.92,2.922
416,Chase Coffman,TE,2500,Atl@Ten 01:00PM ET,8.2,Ten,,,,,,,
417,Garrett Graham,TE,2500,Hou@Mia 01:00PM ET,2.167,Hou,4.0,5.4,5.12,5.7,3.75,3.03,4.308
418,Andrew DePaola,TE,2500,TB@Was 01:00PM ET,0.0,TB,,,,,,,
419,Richie Brockel,TE,2500,Phi@Car 08:30PM ET,0.0,Car,,,,,,,
420,Anthony McCoy,TE,2500,TB@Was 01:00PM ET,0.0,Was,,,,,,0.01,
