Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Jamize Olawale,23046,RB,4800,OAK@TEN,3.0,OAK,,,2.79,,4.26,2.85,,3.3,4.26,2.79,1.47,0.445454545455
Chandler Harnish,22187,QB,4800,ARI@SF,0.0,ARI,,,,,,,,,,,,
Brandon Coleman,26094,WR,4800,NO@HOU,3.5,NO,,6.8,4.24,6.4,3.21,2.17,2.516,4.22266666667,6.8,2.17,4.63,1.09646353015
Cincinnati Bengals,12528,D,4800,STL@CIN,7.6,CIN,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,0.0,0.0
Phil Dawson,6702,K,4800,ARI@SF,6.7,SF,,,,,,,,,,,,
Miles Austin,6387,WR,4700,PHI@DET,3.3,PHI,,3.0,4.47,2.5,3.43,,2.069,3.0938,4.47,2.069,2.401,0.776068265563
Kenjon Barner,29357,RB,4700,PHI@DET,0.9,PHI,,,4.1,,1.78,1.78,,2.55333333333,4.1,1.78,2.32,0.90861618799
Mason Crosby,6897,K,4700,CHI@GB,8.8,GB,,,,,,,,,,,,
Corey (Philly) Brown,28486,WR,4700,CAR@DAL,5.9,CAR,,,,,,,,,,,,
Carolina Panthers,12553,D,4700,CAR@DAL,10.7,CAR,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0.0,0.0
Dan Bailey,14952,K,4700,CAR@DAL,8.6,DAL,,,,,,,,,,,,
Eddie Royal,6768,WR,4700,CHI@GB,6.0,CHI,,,,,,,,,,,,
Kenbrell Thompkins,33037,WR,4700,MIA@NYJ,4.8,NYJ,,,2.87,,,,,2.87,2.87,2.87,0.0,0.0
Maxx Williams,28346,TE,4700,BAL@CLE,3.6,BAL,4.0,6.2,4.98,6.1,4.59,3.49,1.8115,4.45307142857,6.2,1.8115,4.3885,0.985499574932
Dwayne Bowe,6488,WR,4700,BAL@CLE,1.2,CLE,2.5,1.4,10.93,1.7,6.07,4.25,,4.475,10.93,1.4,9.53,2.12960893855
