,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
165,0.0,7.8,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Toby Gerhart,JAC",0.0,1.2,0.0,9.7,2.8,3.9,0.2,11.0
166,0.0,7.8,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Thomas Rawls,SEA",0.0,1.7,0.1,13.2,9.3,5.2,0.2,48.2
167,0.0,6.4,,,0.0,0.5,0.0,0.0,,0.0,0.0,,"Jeremy Hill,CIN",0.0,1.1,0.0,6.9,14.0,3.8,0.7,53.3
168,0.0,9.6,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Tyler Varga,IND",0.0,0.0,0.0,0.3,0.1,3.5,0.0,0.5
169,0.0,5.2,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Jamize Olawale,OAK",0.0,0.0,0.0,0.2,0.0,2.0,0.0,0.0
170,0.0,6.4,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"James White,NE",0.0,0.0,0.0,0.1,0.1,3.8,0.0,0.5
171,0.0,7.4,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Dan Herron,BUF",0.0,1.2,0.0,8.9,4.2,4.3,0.1,18.3
172,0.0,11.8,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Ka'Deem Carey,CHI",0.0,0.0,0.0,0.3,0.1,4.8,0.0,0.5
173,0.0,8.4,,,0.0,0.2,0.0,0.0,,0.0,0.0,,"Mark Ingram,NO",0.0,3.1,0.0,26.0,12.7,4.1,0.3,52.1
174,0.0,9.1,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Nikita Whitlock,NYG",0.0,0.0,0.0,0.1,0.0,3.5,0.0,0.1
175,0.0,7.5,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Bobby Rainey,TB",0.0,0.1,0.0,0.4,0.3,4.0,0.0,1.2
176,0.0,4.3,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Austin Johnson,NO",0.0,0.6,0.1,2.7,1.3,2.4,0.1,3.1
177,0.0,9.0,,,0.0,0.3,0.0,0.0,,0.0,0.0,,"Dion Lewis,NE",0.0,2.7,0.1,24.2,11.9,4.4,0.5,52.3
178,0.0,7.0,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Alfred Morris,WAS",0.0,1.2,0.0,8.1,13.8,4.6,0.3,62.8
179,0.0,7.6,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Kyle Juszczyk,BAL",0.0,1.5,0.0,11.1,0.0,0.0,0.0,0.0
180,0.0,7.9,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Todd Gurley,STL",0.0,1.6,0.1,12.5,14.6,5.4,0.4,78.4
181,0.0,6.7,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Ronnie Hillman,DEN",0.0,1.6,0.1,10.6,9.8,3.9,0.4,38.1
182,0.0,8.8,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Le'Veon Bell,PIT",0.0,4.7,0.1,41.1,18.6,4.9,0.5,91.6
183,0.0,9.6,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Patrick DiMarco,ATL",0.0,0.8,0.0,8.0,0.0,0.0,0.0,0.0
